"SurveyId","agegrp","var","n","per","perwt"
"CI2021DHS","40-44","MSC",77,0.155241935483871,0.143502911917116
"CI2021DHS","40-44","SB",14,0.0282258064516129,0.0264476440032661
"CI2021DHS","45-49","AB",2,0.0425531914893617,0.0388746564814383
"CI2021DHS","45-49","LB",34,0.723404255319149,0.615952492336439
"CI2021DHS","45-49","MSC",10,0.212765957446809,0.339350151651083
"CI2021DHS","45-49","SB",1,0.0212765957446809,0.00582269953103936
"KH2021DHS","<15","LB",8,0.666666666666667,0.575497492792244
"KH2021DHS","<15","MSC",4,0.333333333333333,0.424502507207756
"KH2021DHS","15-19","AB",53,0.0520628683693517,0.0570462276579023
"KH2021DHS","15-19","LB",839,0.824165029469548,0.808583026586981
"KH2021DHS","15-19","MSC",119,0.116895874263261,0.125998396181575
"KH2021DHS","15-19","SB",7,0.0068762278978389,0.00837234957354165
"KH2021DHS","20-24","AB",150,0.0594530321046373,0.0705978617167811
"KH2021DHS","20-24","LB",2138,0.847403884264764,0.833157233801485
"KH2021DHS","20-24","MSC",230,0.0911613158937773,0.0933333754117644
"KH2021DHS","20-24","SB",5,0.00198176773682124,0.0029115290699696
"KH2021DHS","25-29","AB",209,0.0740347148423663,0.0776360988589187
"KH2021DHS","25-29","LB",2285,0.809422600070847,0.803526956747294
"KH2021DHS","25-29","MSC",319,0.113000354233085,0.115218694220276
"KH2021DHS","25-29","SB",10,0.00354233085370174,0.00361825017351163
"KH2021DHS","30-34","AB",239,0.108390022675737,0.105037289286082
"KH2021DHS","30-34","LB",1721,0.780498866213152,0.782196026984858
"KH2021DHS","30-34","MSC",234,0.106122448979592,0.107241939879337
"KH2021DHS","30-34","SB",11,0.00498866213151927,0.00552474384972303
"KH2021DHS","35-39","AB",192,0.156351791530945,0.165121948116148
"KH2021DHS","35-39","LB",853,0.694625407166124,0.69580397859423
"KH2021DHS","35-39","MSC",177,0.14413680781759,0.136474097963671
"KH2021DHS","35-39","SB",6,0.00488599348534202,0.00259997532595081
"KH2021DHS","40-44","AB",49,0.133879781420765,0.128270858396276
"KH2021DHS","40-44","LB",226,0.617486338797814,0.605508961814122
"KH2021DHS","40-44","MSC",90,0.245901639344262,0.26257377198473
"KH2021DHS","40-44","SB",1,0.00273224043715847,0.00364640780487183
"KH2021DHS","45-49","AB",11,0.275,0.348836569858507
"KH2021DHS","45-49","LB",14,0.35,0.262355443852747
