"SurveyId","CountryId","SurveyYear","phase","vcal_1","vcal_1b","EverMW","mm2","mm8","mm9","mm16","v229","p32","SibSurvAvail","IncludePRMR","IncludeMMR","Include"
"SN2023DHS","SN",2023,"8",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"SZ2006DHS","SZ",2006,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"TL2009DHS","TL",2009,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"TL2016DHS","TL",2016,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"TZ2004DHS","TZ",2004,"4",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"TZ2010DHS","TZ",2010,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"TZ2015DHS","TZ",2015,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"TZ2022DHS","TZ",2022,"8",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"UG2006DHS","UG",2006,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"UG2011DHS","UG",2011,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"UG2016DHS","UG",2016,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"ZA2016DHS","ZA",2016,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"ZM2007DHS","ZM",2007,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ZM2013DHS","ZM",2013,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ZM2018DHS","ZM",2018,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"ZW1994DHS","ZW",1994,"3",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ZW1999DHS","ZW",1999,"4",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ZW2005DHS","ZW",2005,"5",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ZW2010DHS","ZW",2010,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ZW2015DHS","ZW",2015,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
