"SurveyId","CountryId","SurveyYear","phase","vcal_1","vcal_1b","EverMW","mm2","mm8","mm9","mm16","v229","p32","SibSurvAvail","IncludePRMR","IncludeMMR","Include"
"GA2019DHS","GA",2019,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"GH1988DHS","GH",1988,"1",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GH1993DHS","GH",1993,"2",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GH1998DHS","GH",1998,"3",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GH2003DHS","GH",2003,"4",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GH2008DHS","GH",2008,"5",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GH2014DHS","GH",2014,"6",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"GH2016MIS","GH",2016,"7",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GH2019MIS","GH",2019,"7",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GH2022DHS","GH",2022,"8",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"GM2013DHS","GM",2013,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"GM2019DHS","GM",2019,"7",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"GN1999DHS","GN",1999,"3",FALSE,FALSE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"GN2005DHS","GN",2005,"4",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"GN2012DHS","GN",2012,"6",FALSE,FALSE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"GN2018DHS","GN",2018,"7",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"GN2021MIS","GN",2021,"7",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GU1987DHS","GU",1987,"1",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GU1999DHS","GU",1999,"3",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GU2015DHS","GU",2015,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"GY2005AIS","GY",2005,"4",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"GY2009DHS","GY",2009,"5",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HN2005DHS","HN",2005,"5",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HN2011DHS","HN",2011,"6",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HT1994DHS","HT",1994,"3",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HT2000DHS","HT",2000,"4",TRUE,FALSE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"HT2006DHS","HT",2006,"5",FALSE,FALSE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"HT2012DHS","HT",2012,"6",FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"HT2016DHS","HT",2016,"7",FALSE,FALSE,"FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"IA1993DHS","IA",1993,"2",FALSE,FALSE,"TRUE",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"IA1999DHS","IA",1999,"3",FALSE,FALSE,"TRUE",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"IA2006DHS","IA",2006,"5",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"IA2015DHS","IA",2015,"6",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"IA2020DHS","IA",2020,"7",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID1987DHS","ID",1987,"1",FALSE,FALSE,"TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID1991DHS","ID",1991,"2",TRUE,TRUE,"TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ID1994DHS","ID",1994,"3",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID1997DHS","ID",1997,"3",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID2003DHS","ID",2003,"4",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID2007DHS","ID",2007,"5",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID2012DHS","ID",2012,"6",TRUE,TRUE,"FALSE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"ID2017DHS","ID",2017,"7",TRUE,TRUE,"FALSE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"JO1990DHS","JO",1990,"2",TRUE,TRUE,"TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JO1997DHS","JO",1997,"3",TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"JO2002DHS","JO",2002,"4",TRUE,TRUE,"TRUE",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JO2007DHS","JO",2007,"5",TRUE,TRUE,"TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JO2009DHS","JO",2009,"5",TRUE,TRUE,"TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
