"SurveyId","agegrp","var","n","per","perwt"
"AO2015DHS","30-34","TRM",81,0.0390738060781476,0.0448352110338939
"AO2015DHS","35-39","LB",1457,0.948567708333333,0.950205202070459
"AO2015DHS","35-39","SB",9,0.005859375,0.0033249260640027
"AO2015DHS","35-39","TRM",70,0.0455729166666667,0.0464698718655384
"AO2015DHS","40-44","LB",519,0.885665529010239,0.882202799588096
"AO2015DHS","40-44","SB",4,0.0068259385665529,0.0102526410001757
"AO2015DHS","40-44","TRM",63,0.107508532423208,0.107544559411729
"AO2015DHS","45-49","LB",63,0.84,0.900171124462561
"AO2015DHS","45-49","TRM",12,0.16,0.099828875537439
"BJ2006DHS","15-19","LB",51,0.944444444444444,0.945186088369927
"BJ2006DHS","15-19","SB",3,0.0555555555555556,0.0548139116300729
"BJ2006DHS","20-24","LB",435,0.953947368421053,0.951319721294325
"BJ2006DHS","20-24","SB",9,0.0197368421052632,0.0216065233507155
"BJ2006DHS","20-24","TRM",12,0.0263157894736842,0.0270737553549598
"BJ2006DHS","25-29","LB",799,0.963811821471653,0.961983816839583
"BJ2006DHS","25-29","SB",16,0.0193003618817853,0.0192912363567939
"BJ2006DHS","25-29","TRM",14,0.0168878166465621,0.0187249468036229
"BJ2006DHS","30-34","LB",424,0.957110609480813,0.956654856497985
"BJ2006DHS","30-34","SB",9,0.0203160270880361,0.020247143567307
"BJ2006DHS","30-34","TRM",10,0.0225733634311512,0.0230979999347075
"BJ2006DHS","35-39","LB",226,0.961702127659574,0.962885621702793
"BJ2006DHS","35-39","SB",3,0.0127659574468085,0.0113224790592528
"BJ2006DHS","35-39","TRM",6,0.025531914893617,0.0257918992379545
"BJ2006DHS","40-44","LB",61,1,1
"BJ2006DHS","45-49","LB",22,0.956521739130435,0.956362050533834
"BJ2006DHS","45-49","TRM",1,0.0434782608695652,0.0436379494661656
"BJ2017DHS","<15","LB",18,0.72,0.721124094721055
"BJ2017DHS","<15","TRM",7,0.28,0.278875905278945
"BJ2017DHS","15-19","LB",1298,0.917314487632509,0.917878791512789
"BJ2017DHS","15-19","SB",19,0.0134275618374558,0.0147145870898286
"BJ2017DHS","15-19","TRM",98,0.0692579505300353,0.0674066213973827
"BJ2017DHS","20-24","LB",3422,0.928629579375848,0.929574181910113
"BJ2017DHS","20-24","SB",33,0.00895522388059702,0.00872386400096017
"BJ2017DHS","20-24","TRM",230,0.062415196743555,0.0617019540889264
"BJ2017DHS","25-29","LB",3517,0.941633199464525,0.94125245586749
"BJ2017DHS","25-29","SB",18,0.00481927710843374,0.0048921729420797
"BJ2017DHS","25-29","TRM",200,0.0535475234270415,0.0538553711904305
"BJ2017DHS","30-34","LB",2245,0.942485306465155,0.945247821933523
"BJ2017DHS","30-34","SB",17,0.00713685978169605,0.00776621510161086
"BJ2017DHS","30-34","TRM",120,0.0503778337531486,0.0469859629648664
"BJ2017DHS","35-39","LB",1324,0.920083391243919,0.921840017519315
"BJ2017DHS","35-39","SB",10,0.00694927032661571,0.00717817985316528
"BJ2017DHS","35-39","TRM",105,0.0729673384294649,0.0709818026275199
"BJ2017DHS","40-44","LB",530,0.87893864013267,0.882613683312156
"BJ2017DHS","40-44","SB",9,0.0149253731343284,0.0193730698202203
"BJ2017DHS","40-44","TRM",64,0.106135986733002,0.0980132468676235
"BJ2017DHS","45-49","LB",86,0.788990825688073,0.781103860698196
"BJ2017DHS","45-49","SB",1,0.00917431192660551,0.0102726590952646
"BJ2017DHS","45-49","TRM",22,0.201834862385321,0.20862348020654
"BO1994DHS","<15","TRM",1,1,1
"BO1994DHS","15-19","LB",300,0.928792569659443,0.926816454565157
"BO1994DHS","15-19","SB",6,0.0185758513931889,0.0249317070301935
"BO1994DHS","15-19","TRM",17,0.0526315789473684,0.0482518384046491
"BO1994DHS","20-24","LB",962,0.931268151016457,0.929978625468324
"BO1994DHS","20-24","SB",8,0.00774443368828654,0.00956800121028379
"BO1994DHS","20-24","TRM",63,0.0609874152952565,0.0604533733213917
"BO1994DHS","25-29","LB",1024,0.920863309352518,0.91582587929365
"BO1994DHS","25-29","SB",10,0.00899280575539568,0.00918095517238005
"BO1994DHS","25-29","TRM",78,0.0701438848920863,0.0749931655339696
"BO1994DHS","30-34","LB",775,0.885714285714286,0.881066174473897
"BO1994DHS","30-34","SB",8,0.00914285714285714,0.00870734114143067
"BO1994DHS","30-34","TRM",92,0.105142857142857,0.110226484384672
"BO1994DHS","35-39","LB",512,0.90299823633157,0.898117827565747
"BO1994DHS","35-39","SB",10,0.017636684303351,0.0218753950681431
"BO1994DHS","35-39","TRM",45,0.0793650793650794,0.0800067773661104
"BO1994DHS","40-44","LB",243,0.870967741935484,0.863870464146117
"BO1994DHS","40-44","SB",4,0.014336917562724,0.0145008788404391
"BO1994DHS","40-44","TRM",32,0.114695340501792,0.121628657013444
"BO1994DHS","45-49","LB",44,0.956521739130435,0.949788978229256
"BO1994DHS","45-49","SB",1,0.0217391304347826,0.0286574546810741
"BO1994DHS","45-49","TRM",1,0.0217391304347826,0.0215535670896698
"BO2008DHS","<15","LB",5,1,1
